m,n,dup,mode,ms,out_n
12,2048,0.50,absl,0.129,1044
12,4096,0.50,sort,0.358,2101
12,4096,0.50,absl,0.618,2101
12,8192,0.50,sort,0.789,4111
12,8192,0.50,absl,1.151,4111
12,16384,0.50,sort,2.240,8137
12,16384,0.50,absl,2.794,8137
12,64,0.80,sort,0.005,17
12,64,0.80,absl,0.018,17
12,128,0.80,sort,0.004,25
12,128,0.80,absl,0.032,25
12,256,0.80,sort,0.021,50
12,256,0.80,absl,0.056,50
12,512,0.80,sort,0.042,101
12,512,0.80,absl,0.111,101
12,1024,0.80,sort,0.096,200
12,1024,0.80,absl,0.124,200
12,2048,0.80,sort,0.111,443
12,2048,0.80,absl,0.122,443
12,4096,0.80,sort,0.252,861
12,4096,0.80,absl,0.475,861
12,8192,0.80,sort,0.525,1661
12,8192,0.80,absl,0.936,1661
12,16384,0.80,sort,1.542,3247
12,16384,0.80,absl,2.229,3247
16,64,0.00,sort,0.004,64
16,64,0.00,absl,0.015,64
16,128,0.00,sort,0.005,128
16,128,0.00,absl,0.021,128
16,256,0.00,sort,0.020,256
16,256,0.00,absl,0.042,256
16,512,0.00,sort,0.044,512
16,512,0.00,absl,0.082,512
16,1024,0.00,sort,0.098,1024
16,1024,0.00,absl,0.173,1024
16,2048,0.00,sort,0.170,2048
16,2048,0.00,absl,0.151,2048
16,4096,0.00,sort,0.391,4096
16,4096,0.00,absl,0.679,4096
16,8192,0.00,sort,0.808,8192
16,8192,0.00,absl,1.209,8192
16,16384,0.00,sort,2.374,16384
16,16384,0.00,absl,3.604,16384
16,64,0.05,sort,0.006,60
16,64,0.05,absl,0.021,60
16,128,0.05,sort,0.008,120
16,128,0.05,absl,0.037,120
16,256,0.05,sort,0.029,242
16,256,0.05,absl,0.075,242
16,512,0.05,sort,0.099,475
16,512,0.05,absl,0.222,475
16,1024,0.05,sort,0.099,969
16,1024,0.05,absl,0.182,969
16,2048,0.05,sort,0.493,1925
16,2048,0.05,absl,0.321,1925
16,4096,0.05,sort,1.093,3877
16,4096,0.05,absl,1.297,3877
16,8192,0.05,sort,1.097,7816
16,8192,0.05,absl,1.486,7816
16,16384,0.05,sort,2.296,15584
16,16384,0.05,absl,4.011,15584
16,64,0.20,sort,0.008,54
16,64,0.20,absl,0.015,54
16,128,0.20,sort,0.006,104
16,128,0.20,absl,0.027,104
16,256,0.20,sort,0.023,206
16,256,0.20,absl,0.050,206
16,512,0.20,sort,0.064,414
16,512,0.20,absl,0.099,414
16,1024,0.20,sort,0.115,826
16,1024,0.20,absl,0.084,826
16,2048,0.20,sort,0.179,1674
16,2048,0.20,absl,0.080,1674
16,4096,0.20,sort,0.388,3268
16,4096,0.20,absl,0.590,3268
16,8192,0.20,sort,0.931,6584
16,8192,0.20,absl,1.318,6584
16,16384,0.20,sort,2.135,12980
16,16384,0.20,absl,2.697,12980
16,64,0.50,sort,0.005,38
16,64,0.50,absl,0.019,38
16,128,0.50,sort,0.007,62
16,128,0.50,absl,0.033,62
16,256,0.50,sort,0.019,126
16,256,0.50,absl,0.071,126
16,512,0.50,sort,0.045,252
16,512,0.50,absl,0.125,252
16,1024,0.50,sort,0.102,499
16,1024,0.50,absl,0.150,499
16,2048,0.50,sort,0.162,991
16,2048,0.50,absl,0.084,991
16,4096,0.50,sort,0.372,2103
16,4096,0.50,absl,0.583,2103
16,8192,0.50,sort,0.845,4117
16,8192,0.50,absl,1.189,4117
16,16384,0.50,sort,2.027,8203
16,16384,0.50,absl,2.711,8203
16,64,0.80,sort,0.005,12
16,64,0.80,absl,0.017,12
16,128,0.80,sort,0.005,20
16,128,0.80,absl,0.047,20
16,256,0.80,sort,0.032,57
16,256,0.80,absl,0.031,57
16,512,0.80,sort,0.040,104
16,512,0.80,absl,0.054,104
16,1024,0.80,sort,0.075,207
16,1024,0.80,absl,0.088,207
16,2048,0.80,sort,0.137,400
16,2048,0.80,absl,0.144,400
16,4096,0.80,sort,0.262,796
16,4096,0.80,absl,0.494,796
16,8192,0.80,sort,0.598,1691
16,8192,0.80,absl,1.044,1691
16,16384,0.80,sort,1.412,3297
16,16384,0.80,absl,2.539,3297
